Solutions Available	Patient Scheduling	athenaClinicals	1
Solutions Available	Medical Billing	athenaClinicals	1
Solutions Available	Practice Management	athenaClinicals	1
Solutions Available	Electronic Medical Records	athenaClinicals	1
Solutions Available	Patient Scheduling	CureMD SMART Cloud	1
Solutions Available	Medical Billing	CureMD SMART Cloud	1
Solutions Available	Practice Management	CureMD SMART Cloud	1
Solutions Available	Electronic Medical Records	CureMD SMART Cloud	1
Solutions Available	Patient Scheduling	EpicCare	1
Solutions Available	Medical Billing	EpicCare	1
Solutions Available	Practice Management	EpicCare	1
Solutions Available	Electronic Medical Records	EpicCare	1
Solutions Available	Patient Scheduling	WRS Health EMR	1
Solutions Available	Medical Billing	WRS Health EMR	1
Solutions Available	Practice Management	WRS Health EMR	1
Solutions Available	Electronic Medical Records	WRS Health EMR	1
Solutions Available	Patient Scheduling	Practice Fusion	1
Solutions Available	Medical Billing	Practice Fusion	1
Solutions Available	Practice Management	Practice Fusion	1
Solutions Available	Electronic Medical Records	Practice Fusion	1
Solutions Available	Patient Scheduling	drchrono	1
Solutions Available	Medical Billing	drchrono	1
Solutions Available	Practice Management	drchrono	1
Solutions Available	Electronic Medical Records	drchrono	1
Solutions Available	Patient Scheduling	MediTouch	1
Solutions Available	Medical Billing	MediTouch	1
Solutions Available	Practice Management	MediTouch	1
Solutions Available	Electronic Medical Records	MediTouch	1
Solutions Available	Patient Scheduling	Medios	1
Solutions Available	Medical Billing	Medios	0
Solutions Available	Practice Management	Medios	1
Solutions Available	Electronic Medical Records	Medios	1
Solutions Available	Patient Scheduling	ClinicTracker	1
Solutions Available	Medical Billing	ClinicTracker	1
Solutions Available	Practice Management	ClinicTracker	1
Solutions Available	Electronic Medical Records	ClinicTracker	1
Solutions Available	Patient Scheduling	CaduRx	1
Solutions Available	Medical Billing	CaduRx	1
Solutions Available	Practice Management	CaduRx	1
Solutions Available	Electronic Medical Records	CaduRx	1
Features	Patient Portal	athenaClinicals	1
Features	API Available	athenaClinicals	1
Features	Claim Scrubber	athenaClinicals	1
Features	Reporting Dashboard	athenaClinicals	1
Features	Lab Orders and Results	athenaClinicals	1
Features	Online Booking	athenaClinicals	1
Features	Insurance Verification	athenaClinicals	1
Features	E-Prescribing	athenaClinicals	1
Features	Document Management	athenaClinicals	1
Features	Speech Recognition	athenaClinicals	0
Features	Credit Card Processing	athenaClinicals	1
Features	Electronic Remittance Advice	athenaClinicals	1
Features	Patient Portal	CureMD SMART Cloud	1
Features	API Available	CureMD SMART Cloud	1
Features	Claim Scrubber	CureMD SMART Cloud	0
Features	Reporting Dashboard	CureMD SMART Cloud	1
Features	Lab Orders and Results	CureMD SMART Cloud	1
Features	Online Booking	CureMD SMART Cloud	0
Features	Insurance Verification	CureMD SMART Cloud	0
Features	E-Prescribing	CureMD SMART Cloud	1
Features	Document Management	CureMD SMART Cloud	1
Features	Speech Recognition	CureMD SMART Cloud	0
Features	Credit Card Processing	CureMD SMART Cloud	1
Features	Electronic Remittance Advice	CureMD SMART Cloud	1
Features	Patient Portal	EpicCare	1
Features	API Available	EpicCare	1
Features	Claim Scrubber	EpicCare	1
Features	Reporting Dashboard	EpicCare	1
Features	Lab Orders and Results	EpicCare	0
