Service Management Features	Service Quotes	Procore	0
Service Management Features	Work Orders	Procore	1
Service Management Features	Inventory Management	Procore	1
Service Management Features	Dispatch	Procore	1
Service Management Features	Service Contracts	Procore	1
Service Management Features	Service Quotes	Aconex	0
Service Management Features	Work Orders	Aconex	0
Service Management Features	Inventory Management	Aconex	0
Service Management Features	Dispatch	Aconex	0
Service Management Features	Service Contracts	Aconex	0
Service Management Features	Service Quotes	WinPCS	0
Service Management Features	Work Orders	WinPCS	1
Service Management Features	Inventory Management	WinPCS	0
Service Management Features	Dispatch	WinPCS	0
Service Management Features	Service Contracts	WinPCS	0
Service Management Features	Service Quotes	CoConstruct	0
Service Management Features	Work Orders	CoConstruct	1
Service Management Features	Inventory Management	CoConstruct	0
Service Management Features	Dispatch	CoConstruct	0
Service Management Features	Service Contracts	CoConstruct	0
Service Management Features	Service Quotes	BuildTools Construction Management Platform	1
Service Management Features	Work Orders	BuildTools Construction Management Platform	1
Service Management Features	Inventory Management	BuildTools Construction Management Platform	1
Service Management Features	Dispatch	BuildTools Construction Management Platform	1
Service Management Features	Service Contracts	BuildTools Construction Management Platform	1
Service Management Features	Service Quotes	PMWeb	1
Service Management Features	Work Orders	PMWeb	1
Service Management Features	Inventory Management	PMWeb	1
Service Management Features	Dispatch	PMWeb	1
Service Management Features	Service Contracts	PMWeb	1
Service Management Features	Service Quotes	Oracle Primavera P6 Professional Project Management	0
Service Management Features	Work Orders	Oracle Primavera P6 Professional Project Management	1
Service Management Features	Inventory Management	Oracle Primavera P6 Professional Project Management	0
Service Management Features	Dispatch	Oracle Primavera P6 Professional Project Management	1
Service Management Features	Service Contracts	Oracle Primavera P6 Professional Project Management	0
Service Management Features	Service Quotes	Proliance	1
Service Management Features	Work Orders	Proliance	1
Service Management Features	Inventory Management	Proliance	1
Service Management Features	Dispatch	Proliance	0
Service Management Features	Service Contracts	Proliance	1
Service Management Features	Service Quotes	SimpleBuild	0
Service Management Features	Work Orders	SimpleBuild	0
Service Management Features	Inventory Management	SimpleBuild	0
Service Management Features	Dispatch	SimpleBuild	0
Service Management Features	Service Contracts	SimpleBuild	0
Service Management Features	Service Quotes	PlanGrid	0
Service Management Features	Work Orders	PlanGrid	0
Service Management Features	Inventory Management	PlanGrid	0
Service Management Features	Dispatch	PlanGrid	0
Service Management Features	Service Contracts	PlanGrid	0
Functionality	Project Management	Procore	1
Functionality	Estimating	Procore	1
Functionality	Accounting	Procore	1
Functionality	Project Management	Aconex	1
Functionality	Estimating	Aconex	0
Functionality	Accounting	Aconex	0
Functionality	Project Management	WinPCS	1
Functionality	Estimating	WinPCS	1
